UID,Name,Allele0,Allele1,isSecret,baseChance,conditions
forestry.speciesCommon,Common,forestry.speciesForest,forestry.speciesMeadows,false,15.0,
forestry.speciesCommon,Common,forestry.speciesForest,forestry.speciesModest,false,15.0,
forestry.speciesCommon,Common,forestry.speciesForest,forestry.speciesTropical,false,15.0,
forestry.speciesCommon,Common,forestry.speciesForest,forestry.speciesWintry,false,15.0,
forestry.speciesCommon,Common,forestry.speciesForest,forestry.speciesMarshy,false,15.0,
forestry.speciesCommon,Common,forestry.speciesMeadows,forestry.speciesModest,false,15.0,
forestry.speciesCommon,Common,forestry.speciesMeadows,forestry.speciesTropical,false,15.0,
forestry.speciesCommon,Common,forestry.speciesMeadows,forestry.speciesWintry,false,15.0,
forestry.speciesCommon,Common,forestry.speciesMeadows,forestry.speciesMarshy,false,15.0,
forestry.speciesCommon,Common,forestry.speciesModest,forestry.speciesTropical,false,15.0,
forestry.speciesCommon,Common,forestry.speciesModest,forestry.speciesWintry,false,15.0,
forestry.speciesCommon,Common,forestry.speciesModest,forestry.speciesMarshy,false,15.0,
forestry.speciesCommon,Common,forestry.speciesTropical,forestry.speciesWintry,false,15.0,
forestry.speciesCommon,Common,forestry.speciesTropical,forestry.speciesMarshy,false,15.0,
forestry.speciesCommon,Common,forestry.speciesWintry,forestry.speciesMarshy,false,15.0,
forestry.speciesCultivated,Cultivated,forestry.speciesCommon,forestry.speciesForest,false,12.0,
forestry.speciesCultivated,Cultivated,forestry.speciesCommon,forestry.speciesMeadows,false,12.0,
forestry.speciesCultivated,Cultivated,forestry.speciesCommon,forestry.speciesModest,false,12.0,
forestry.speciesCultivated,Cultivated,forestry.speciesCommon,forestry.speciesTropical,false,12.0,
forestry.speciesCultivated,Cultivated,forestry.speciesCommon,forestry.speciesWintry,false,12.0,
forestry.speciesCultivated,Cultivated,forestry.speciesCommon,forestry.speciesMarshy,false,12.0,
forestry.speciesNoble,Noble,forestry.speciesCommon,forestry.speciesCultivated,false,10.0,
forestry.speciesMajestic,Majestic,forestry.speciesNoble,forestry.speciesCultivated,false,8.0,
forestry.speciesImperial,Imperial,forestry.speciesNoble,forestry.speciesMajestic,false,8.0,
forestry.speciesDiligent,Diligent,forestry.speciesCommon,forestry.speciesCultivated,false,10.0,
forestry.speciesUnweary,Unweary,forestry.speciesDiligent,forestry.speciesCultivated,false,8.0,
forestry.speciesIndustrious,Industrious,forestry.speciesDiligent,forestry.speciesUnweary,false,8.0,
forestry.speciesHeroic,Heroic,forestry.speciesSteadfast,forestry.speciesValiant,false,6.0,Occurs within a forest biome.
forestry.speciesSinister,Sinister,forestry.speciesCultivated,forestry.speciesModest,false,60.0,Occurs within a nether biome.
forestry.speciesSinister,Sinister,forestry.speciesCultivated,forestry.speciesTropical,false,60.0,Occurs within a nether biome.
forestry.speciesFiendish,Fiendish,forestry.speciesSinister,forestry.speciesCultivated,false,40.0,Occurs within a nether biome.
forestry.speciesFiendish,Fiendish,forestry.speciesSinister,forestry.speciesModest,false,40.0,Occurs within a nether biome.
forestry.speciesFiendish,Fiendish,forestry.speciesSinister,forestry.speciesTropical,false,40.0,Occurs within a nether biome.
forestry.speciesDemonic,Demonic,forestry.speciesSinister,forestry.speciesFiendish,false,25.0,Occurs within a nether biome.
forestry.speciesFrugal,Frugal,forestry.speciesModest,forestry.speciesSinister,false,16.0,Requires temperature between Hot and Hellish.|Requires Arid humidity.
forestry.speciesFrugal,Frugal,forestry.speciesModest,forestry.speciesFiendish,false,10.0,Requires temperature between Hot and Hellish.|Requires Arid humidity.
forestry.speciesAustere,Austere,forestry.speciesModest,forestry.speciesFrugal,false,8.0,Requires temperature between Hot and Hellish.|Requires Arid humidity.
forestry.speciesExotic,Exotic,forestry.speciesAustere,forestry.speciesTropical,false,12.0,
forestry.speciesEdenic,Edenic,forestry.speciesExotic,forestry.speciesTropical,false,8.0,
forestry.speciesSpectral,Spectral,forestry.speciesHermitic,forestry.speciesEnded,false,4.0,
forestry.speciesPhantasmal,Phantasmal,forestry.speciesSpectral,forestry.speciesEnded,false,2.0,
forestry.speciesIcy,Icy,forestry.speciesIndustrious,forestry.speciesWintry,false,12.0,Requires temperature between Icy and Cold.
forestry.speciesGlacial,Glacial,forestry.speciesIcy,forestry.speciesWintry,false,8.0,Requires temperature between Icy and Cold.
forestry.speciesVindictive,Vindictive,forestry.speciesMonastic,forestry.speciesDemonic,true,4.0,
forestry.speciesVengeful,Vengeful,forestry.speciesDemonic,forestry.speciesVindictive,true,8.0,
forestry.speciesVengeful,Vengeful,forestry.speciesMonastic,forestry.speciesVindictive,true,8.0,
forestry.speciesAvenging,Avenging,forestry.speciesVengeful,forestry.speciesVindictive,false,4.0,
